Customer ID,Customer Name,Gender,Age,Location,Total Orders,Average Basket Size (₹),Total Spend (₹),Preferred Category,Last Purchase Date,Days Since Last Purchase,Engagement Score (1-100),Customer Rating (1 to 5 stars)
CUST00001,Myra Ganguly,Other,56,Delhi,12,955.01,11460.12,Books,2024-06-16,318,73,4.7
CUST00002,Siya Kari,Male,69,Chennai,7,2965.71,20759.97,Beauty,2024-10-30,182,59,3.9
CUST00003,Mehul Rout,Male,46,Mumbai,12,3127.81,37533.72,Grocery,2025-02-19,70,89,2.7
CUST00004,Lakshit Khanna,Other,32,Ahmedabad,15,1473.07,22096.05,Electronics,2024-11-03,178,6,2.9
CUST00005,Vedika Deshmukh,Female,60,Delhi,7,2262.62,15838.34,Fashion,2024-10-18,194,11,2.8
CUST00006,Hridaan Atwal,Male,25,Kolkata,9,4222.37,38001.33,Fashion,2024-04-29,366,27,4.2
CUST00007,Taran Kashyap,Male,38,Chennai,10,1167.84,11678.4,Grocery,2024-11-09,172,72,1.7
CUST00008,Hansh Bandi,Male,56,Lucknow,9,2455.28,22097.52,Grocery,2025-01-25,95,45,1.2
CUST00009,Dhruv Samra,Other,36,Delhi,6,4697.3,28183.8,Home,2024-12-07,144,31,3.0
CUST00010,Sara Gala,Male,40,Chennai,9,2768.49,24916.41,Beauty,2025-01-06,114,91,2.2
CUST00011,Nitara Shenoy,Other,28,Bangalore,13,3763.1,48920.3,Beauty,2025-02-07,82,63,3.3
CUST00012,Advik Mall,Other,28,Mumbai,7,4220.9,29546.3,Grocery,2024-08-29,244,44,4.9
CUST00013,Samaira Chana,Other,41,Delhi,5,1416.98,7084.9,Electronics,2024-11-01,180,41,3.7
CUST00014,Arnav Bakshi,Male,53,Pune,13,1481.98,19265.74,Home,2024-08-30,243,47,4.8
CUST00015,Aarush Chaudhry,Other,57,Pune,10,3913.66,39136.6,Books,2025-01-26,94,69,3.9
CUST00016,Amira Desai,Female,41,Pune,9,3889.88,35008.92,Books,2025-03-10,51,79,1.3
CUST00017,Emir Saraf,Male,20,Ahmedabad,11,770.82,8479.02,Electronics,2024-08-13,260,2,4.6
CUST00018,Divit Dubey,Male,39,Lucknow,15,1951.24,29268.6,Beauty,2025-04-09,21,15,1.8
CUST00019,Trisha Hans,Male,19,Mumbai,10,2293.4,22934.0,Books,2025-04-14,16,95,4.5
CUST00020,Kiaan Mangat,Male,41,Chennai,13,4230.68,54998.84,Books,2024-10-23,189,20,4.0
CUST00021,Tara Sharaf,Male,61,Mumbai,12,2398.38,28780.56,Electronics,2024-10-11,201,3,4.4
CUST00022,Anvi Sathe,Other,47,Lucknow,10,4666.68,46666.8,Electronics,2025-01-03,117,39,2.0
CUST00023,Ivana Mangal,Other,55,Pune,8,4984.73,39877.84,Beauty,2024-06-13,321,74,4.2
CUST00024,Mannat Bajwa,Male,19,Chennai,9,4013.27,36119.43,Electronics,2025-01-05,115,90,3.4
CUST00025,Diya Barad,Other,38,Lucknow,11,3498.74,38486.14,Electronics,2025-02-12,77,10,1.3
CUST00026,Seher Hans,Male,50,Bangalore,14,2263.54,31689.56,Sports,2024-11-23,158,40,4.6
CUST00027,Aarav Bansal,Other,29,Hyderabad,6,801.68,4810.08,Home,2024-09-06,236,13,4.5
CUST00028,Zeeshan Varghese,Other,39,Mumbai,14,3079.12,43107.68,Fashion,2025-02-27,62,85,3.3
CUST00029,Eva Mahal,Other,61,Ahmedabad,8,2127.67,17021.36,Books,2024-06-11,323,98,2.8
CUST00030,Emir Das,Other,42,Chennai,4,2079.04,8316.16,Home,2024-11-27,154,44,2.6
CUST00031,Indranil Mahajan,Female,66,Mumbai,11,3594.69,39541.59,Sports,2024-07-25,279,32,3.4
CUST00032,Jayant Luthra,Male,44,Delhi,7,2586.38,18104.66,Home,2025-03-03,58,73,4.4
CUST00033,Samiha Deshpande,Female,59,Jaipur,14,3884.42,54381.88,Electronics,2024-07-28,276,30,3.3
CUST00034,Mohanlal Contractor,Other,45,Lucknow,13,2291.78,29793.14,Home,2025-03-31,30,1,1.5
CUST00035,Manikya Brar,Female,33,Kolkata,7,1178.89,8252.23,Sports,2024-08-24,249,53,2.2
CUST00036,Taimur Ganesan,Male,32,Delhi,14,2576.06,36064.84,Beauty,2024-06-02,332,76,3.7
CUST00037,Armaan Chokshi,Male,64,Kolkata,6,4779.56,28677.36,Home,2025-03-29,32,44,3.6
