Employee ID,Employee Name,Department,Seller Rating (1–5),Avg Response Time (mins),Resolved Tickets,Unresolved Tickets,Customer Satisfaction Score (1–10),Shift,Attendance %,Sales Closed,Target Achievement %,Date
EMP00001,Hiran Dugal,Logistics,2.3,56.11,30,8,8.5,Day,82.19,23,64.15,2025-03-01
EMP00002,Kimaya Dora,Customer Support,3.3,80.45,35,2,8.0,Night,87.66,13,75.99,2025-02-24
EMP00003,Alisha Wadhwa,Logistics,1.8,69.98,39,6,7.4,Night,89.05,25,92.07,2024-11-20
EMP00004,Kaira Bakshi,Logistics,4.9,51.15,31,7,5.9,Day,92.87,13,68.69,2025-01-05
EMP00005,Anvi Gole,Customer Support,3.1,71.43,33,6,7.2,Night,94.4,17,111.25,2024-11-07
EMP00006,Indrans Ramachandran,Logistics,2.7,13.89,32,6,1.7,Night,88.95,13,58.59,2025-03-19
EMP00007,Gokul Butala,Sales,1.7,112.21,26,10,5.1,Day,95.07,14,51.07,2025-03-14
EMP00008,Himmat Bajwa,Logistics,3.3,24.96,27,5,2.1,Night,85.23,24,103.76,2025-04-02
EMP00009,Prisha Cheema,Logistics,1.5,116.79,25,5,2.4,Day,74.67,17,83.07,2025-04-17
EMP00010,Ritvik Singhal,Sales,3.8,58.42,36,7,8.3,Night,82.3,11,98.2,2024-11-01
EMP00011,Jiya Dave,Customer Support,3.5,57.75,40,1,3.8,Night,83.02,16,51.32,2025-03-16
EMP00012,Ehsaan Deol,Logistics,3.2,115.55,19,9,2.4,Day,81.86,20,100.89,2025-03-20
EMP00013,Dhanuk Kashyap,Sales,2.6,54.98,30,6,4.0,Night,82.74,11,57.62,2025-01-02
EMP00014,Shalv Bera,Logistics,2.8,5.65,28,7,6.7,Day,75.63,19,91.0,2024-11-09
EMP00015,Bhamini Dewan,Customer Support,3.1,35.69,35,5,9.5,Night,91.73,26,105.16,2025-03-08
EMP00016,Rati Thakkar,Sales,1.9,69.39,33,3,6.1,Night,73.04,15,112.47,2024-12-04
EMP00017,Chirag Garg,Logistics,2.2,46.04,26,6,3.0,Day,81.85,14,107.12,2024-11-25
EMP00018,Rhea Rajagopalan,Logistics,4.4,38.32,34,7,2.1,Night,84.37,6,94.7,2024-11-22
EMP00019,Vaibhav Karan,Logistics,1.3,13.42,32,2,4.1,Day,94.0,14,98.45,2025-04-06
EMP00020,Hansh Salvi,Logistics,4.2,103.28,33,2,2.4,Night,98.02,19,112.96,2025-02-18
EMP00021,Jivin Bath,Customer Support,2.5,69.56,31,5,2.5,Day,70.53,21,62.93,2025-04-24
EMP00022,Ayesha Rajagopal,Logistics,2.6,112.92,29,9,1.1,Day,84.01,9,65.95,2024-11-23
EMP00023,Samar Gupta,Logistics,2.5,69.73,34,9,8.8,Night,74.51,15,94.02,2025-01-18
EMP00024,Kanav Rattan,Sales,3.4,69.47,31,3,2.6,Night,74.42,19,63.74,2025-01-08
EMP00025,Aniruddh Wali,Logistics,2.8,36.15,33,4,7.0,Night,86.34,14,98.64,2025-02-10
EMP00026,Pihu Dugar,Logistics,2.7,59.43,25,5,3.1,Day,83.06,15,54.32,2025-01-24
EMP00027,Umang Dar,Customer Support,1.5,7.15,33,8,2.5,Night,82.28,13,53.02,2025-04-12
EMP00028,Inaaya  Verma,Logistics,4.8,41.4,24,2,8.4,Night,97.76,12,71.19,2025-04-03
EMP00029,Nishith Lall,Logistics,4.1,32.46,42,3,3.3,Night,92.44,18,54.03,2025-03-30
EMP00030,Khushi Chokshi,Sales,2.9,55.9,26,6,9.6,Night,96.24,16,81.67,2025-04-12
EMP00031,Charvi Sankar,Customer Support,1.6,43.02,29,7,1.4,Day,92.0,23,116.43,2024-12-31
EMP00032,Darshit Thakkar,Customer Support,4.7,106.99,21,8,7.2,Night,81.82,15,88.48,2025-02-05
EMP00033,Aaina Tiwari,Sales,1.7,5.68,32,7,2.9,Day,84.68,15,58.88,2024-11-20
EMP00034,Myra Varty,Sales,1.6,28.37,37,3,4.8,Night,80.13,16,103.01,2025-03-31
EMP00035,Reyansh Khanna,Logistics,1.7,9.88,26,7,6.0,Day,79.11,14,76.68,2025-01-30
EMP00036,Zara Shroff,Sales,1.4,71.78,35,9,6.1,Day,90.13,15,76.5,2025-04-04
EMP00037,Indrajit Agarwal,Logistics,1.7,102.61,27,5,5.9,Night,91.68,23,84.87,2025-03-03
EMP00038,Misha Sridhar,Logistics,3.6,69.17,29,1,3.6,Night,97.25,15,115.37,2025-04-01
EMP00039,Bhamini Tandon,Logistics,1.8,8.6,35,8,8.4,Night,94.94,11,71.78,2025-04-22
EMP00040,Reyansh Soni,Sales,2.8,20.13,23,8,8.7,Day,75.03,11,63.82,2025-03-07
EMP00041,Kavya Sethi,Sales,3.2,25.59,23,6,2.9,Day,96.33,14,54.8,2025-02-18
EMP00042,Divit Ray,Customer Support,3.7,46.0,20,9,6.6,Day,78.95,19,66.95,2025-02-14
EMP00043,Azad Brar,Customer Support,1.7,85.18,33,7,9.0,Day,85.46,16,83.54,2025-03-14
EMP00044,Shaan Bhakta,Sales,3.1,106.71,26,4,6.4,Night,79.71,15,61.7,2025-04-04
EMP00045,Ira Kibe,Logistics,4.9,115.31,22,6,2.1,Day,85.22,21,118.17,2025-04-10
EMP00046,Ehsaan Golla,Sales,2.8,15.55,28,4,1.7,Day,85.32,18,67.21,2024-11-14
EMP00047,Anika Mander,Customer Support,3.5,49.8,20,3,7.2,Day,71.84,20,118.61,2024-12-20
EMP00048,Jhanvi Dhaliwal,Logistics,4.9,17.44,28,6,5.0,Day,70.62,18,73.76,2025-02-01
EMP00049,Mehul Suresh,Customer Support,2.8,52.89,36,3,8.5,Day,91.37,17,79.97,2025-01-31
EMP00050,Kismat Shukla,Sales,2.9,14.27,28,5,9.9,Night,71.0,11,85.22,2025-03-19
EMP00051,Yuvaan Badami,Sales,4.0,97.03,26,7,4.9,Day,98.02,16,74.45,2025-03-02
EMP00052,Jayesh Dugar,Logistics,2.4,95.64,25,1,9.0,Day,87.74,22,78.56,2025-03-12
EMP00053,Taimur Bhatia,Customer Support,1.7,114.78,21,6,6.1,Day,98.98,14,81.37,2025-04-27
EMP00054,Advik Dalal,Sales,1.4,6.04,21,2,8.4,Night,83.91,20,51.79,2025-04-06
EMP00055,Purab Arya,Sales,4.0,22.76,34,2,2.1,Night,93.75,12,88.35,2025-01-13
EMP00056,Vardaniya Grover,Customer Support,3.0,107.81,27,4,8.9,Night,91.0,17,72.6,2025-03-14
EMP00057,Ehsaan Rege,Logistics,2.3,74.39,23,7,6.4,Night,94.18,19,56.32,2024-11-11
EMP00058,Ryan Gara,Logistics,1.5,53.99,37,8,4.8,Day,92.91,11,91.1,2025-03-09
EMP00059,Purab Gaba,Logistics,4.8,81.81,25,2,9.3,Day,73.09,17,106.55,2024-12-07
EMP00060,Umang Luthra,Sales,1.5,30.2,23,11,5.4,Night,95.03,20,103.45,2025-04-17
EMP00061,Abram Chhabra,Sales,4.9,87.25,23,1,6.8,Night,84.81,14,73.86,2025-02-15
EMP00062,Drishya Kara,Customer Support,3.4,59.27,33,1,3.3,Day,75.27,27,52.36,2025-03-02
EMP00063,Samar Rau,Customer Support,4.3,78.83,28,6,9.2,Night,72.4,9,108.68,2025-04-13
EMP00064,Mamooty Edwin,Logistics,2.6,36.86,40,6,3.0,Night,89.16,24,89.51,2024-11-15
EMP00065,Manikya Shukla,Customer Support,1.8,64.21,30,3,3.7,Night,80.62,16,108.96,2025-01-27
EMP00066,Mehul Setty,Customer Support,1.7,12.23,28,1,8.6,Night,96.58,13,108.54,2025-04-24
EMP00067,Oorja Krish,Sales,4.2,22.98,30,8,4.4,Day,70.04,15,65.15,2025-01-17
EMP00068,Navya Loke,Logistics,2.4,1.23,25,5,2.1,Night,96.91,10,97.78,2025-02-28
EMP00069,Siya Wagle,Logistics,2.2,36.78,27,4,6.8,Night,80.23,14,89.22,2024-12-05
EMP00070,Bhamini Saha,Sales,3.2,2.22,38,3,1.8,Day,87.3,10,51.12,2025-01-20
EMP00071,Elakshi Samra,Logistics,3.3,60.19,30,8,8.8,Day,96.82,14,117.35,2025-03-21
EMP00072,Akarsh Rama,Sales,1.9,5.07,36,5,9.8,Day,84.22,16,114.06,2024-12-11
EMP00073,Priyansh Walla,Logistics,4.5,23.68,36,10,1.7,Day,95.2,12,107.76,2025-04-28
EMP00074,Miraan Swamy,Logistics,4.7,55.13,24,10,6.9,Day,70.58,18,68.02,2025-01-21
EMP00075,Mehul Soman,Sales,1.9,38.58,25,7,5.0,Day,86.66,15,83.21,2025-04-09
EMP00076,Veer Vala,Logistics,3.6,24.13,28,4,8.5,Night,73.12,18,54.75,2025-03-28
EMP00077,Indranil Johal,Sales,2.6,48.51,33,2,8.4,Night,71.95,10,68.39,2024-11-05
EMP00078,Arnav Chatterjee,Logistics,1.8,10.12,31,8,3.4,Night,77.56,18,103.97,2025-01-21
EMP00079,Jayan Yadav,Customer Support,2.6,84.16,23,3,5.7,Night,90.9,10,70.8,2025-01-25
EMP00080,Siya Chad,Sales,3.9,65.71,33,8,9.0,Night,94.74,16,76.07,2025-04-03
EMP00081,Eshani Saha,Customer Support,3.1,26.38,31,4,6.7,Night,79.0,18,66.51,2025-03-30
EMP00082,Jayesh Devan,Customer Support,2.7,101.49,39,3,9.2,Day,78.9,14,58.69,2024-11-13
EMP00083,Samar Krish,Sales,2.6,10.6,27,6,3.7,Day,91.97,16,113.34,2025-01-04
EMP00084,Badal Bhakta,Logistics,2.8,93.27,35,5,6.1,Night,91.99,10,67.63,2025-03-04
EMP00085,Shayak Gupta,Logistics,2.4,4.53,29,3,3.1,Night,90.22,14,74.05,2025-04-19
EMP00086,Mohanlal Bava,Logistics,1.2,70.28,35,5,7.5,Night,91.51,14,69.14,2025-02-21
EMP00087,Yakshit Kaul,Logistics,4.5,71.14,30,4,9.0,Day,89.57,14,92.32,2024-11-12
EMP00088,Stuvan Tella,Sales,4.8,18.04,22,7,7.2,Day,73.88,16,59.39,2025-01-28
EMP00089,Vritika Sani,Logistics,3.9,86.85,29,10,1.5,Day,84.65,12,63.82,2025-02-09
EMP00090,Trisha Toor,Customer Support,1.9,65.37,29,4,4.5,Day,71.04,21,63.96,2024-12-10
EMP00091,Kaira Chandra,Sales,3.7,31.42,21,5,6.7,Night,70.35,11,54.19,2025-04-18
EMP00092,Anahi Madan,Customer Support,4.5,87.17,31,3,6.8,Day,96.83,15,118.99,2024-12-10
EMP00093,Shalv Ben,Logistics,3.8,57.16,31,5,7.6,Night,93.22,18,65.49,2024-12-19
EMP00094,Kiaan Balasubramanian,Logistics,4.0,52.21,18,3,4.0,Night,73.03,14,76.4,2025-02-07
EMP00095,Mahika Kala,Logistics,2.2,1.66,29,5,5.1,Night,92.83,20,97.09,2025-04-28
EMP00096,Stuvan Agrawal,Sales,4.2,59.89,26,5,5.5,Night,70.13,11,98.51,2025-01-29
EMP00097,Samar Ahluwalia,Sales,1.7,75.29,35,2,2.1,Night,86.75,12,59.08,2025-01-19
EMP00098,Reyansh Lala,Logistics,3.8,98.26,28,7,9.8,Day,97.73,17,72.24,2025-01-14
EMP00099,Piya Rout,Logistics,1.9,114.71,23,6,2.2,Day,91.92,18,56.9,2025-03-19
EMP00100,Navya Zacharia,Customer Support,3.4,28.45,25,3,8.4,Night,85.3,19,74.45,2024-12-14
EMP00101,Parinaaz Bobal,Customer Support,2.6,100.91,32,4,6.7,Day,83.49,12,91.79,2024-11-12
EMP00102,Urvi Bose,Customer Support,3.4,14.03,31,1,8.2,Night,95.27,19,116.9,2024-11-12
EMP00103,Samiha Wable,Customer Support,2.1,85.21,27,10,1.5,Day,84.67,10,84.33,2025-02-10
EMP00104,Baiju Hayer,Logistics,4.9,82.9,36,3,1.3,Night,87.45,17,93.27,2025-04-22
EMP00105,Dhruv Mallick,Logistics,4.3,2.75,25,9,5.7,Night,94.46,16,58.25,2025-02-19
EMP00106,Ahana  Soman,Customer Support,4.0,54.08,26,7,1.1,Day,82.6,12,112.64,2025-03-17
EMP00107,Sumer Kota,Logistics,3.2,75.26,41,1,2.6,Day,77.52,17,81.79,2025-03-17
EMP00108,Miraya Borah,Logistics,4.2,99.07,33,5,8.4,Day,97.06,11,51.06,2025-01-20
EMP00109,Onkar Kulkarni,Sales,3.8,101.6,25,5,3.6,Night,81.05,15,50.1,2025-01-24
EMP00110,Shamik De,Customer Support,2.3,33.6,41,5,7.6,Day,70.76,24,90.82,2025-04-25
EMP00111,Nakul Dasgupta,Customer Support,1.7,70.05,30,6,2.9,Day,87.65,8,91.98,2025-04-04
EMP00112,Akarsh Baral,Sales,2.8,91.9,25,9,9.9,Night,97.14,15,84.43,2025-04-17
EMP00113,Pari Bali,Sales,3.7,98.59,40,8,6.6,Night,70.44,16,110.5,2024-12-31
EMP00114,Shanaya Datta,Customer Support,2.7,48.25,39,9,5.0,Day,81.91,12,85.39,2025-02-06
EMP00115,Tanya Raja,Logistics,4.2,51.48,29,8,1.7,Night,88.95,18,51.63,2025-04-22
EMP00116,Hridaan Divan,Customer Support,2.2,74.37,29,6,5.0,Day,91.86,6,104.85,2024-12-04
EMP00117,Himmat Wali,Customer Support,2.5,26.22,31,6,5.7,Day,72.85,18,69.66,2025-03-28
EMP00118,Dharmajan Halder,Logistics,4.7,68.27,27,8,5.2,Day,93.14,12,98.31,2025-02-14
EMP00119,Aradhya Dhillon,Sales,2.0,80.28,29,5,3.3,Day,92.38,17,101.99,2025-04-23
EMP00120,Riya Garde,Sales,1.7,8.35,36,5,3.1,Night,81.84,17,71.5,2025-03-16
EMP00121,Dhanuk Chokshi,Sales,1.7,72.17,28,6,8.4,Night,75.69,14,84.6,2025-02-13
EMP00122,Kimaya Dhar,Sales,1.8,107.13,22,5,9.4,Night,80.51,25,55.16,2025-04-17
EMP00123,Anya Shere,Customer Support,1.1,58.26,37,7,8.6,Day,93.86,13,64.01,2024-12-16
EMP00124,Sahil Chawla,Logistics,2.7,83.07,24,4,2.8,Day,90.25,15,59.44,2025-02-27
EMP00125,Mamooty Singh,Customer Support,3.2,84.02,30,6,3.3,Day,86.1,19,61.57,2025-04-28
EMP00126,Indranil Master,Sales,3.8,95.12,33,5,4.7,Night,87.94,19,54.99,2024-12-05
EMP00127,Aarush Subramanian,Customer Support,1.2,54.08,25,4,6.2,Day,76.36,16,113.26,2025-04-19
EMP00128,Aarush Rajagopal,Sales,3.2,83.92,34,5,2.0,Day,96.98,16,72.77,2024-12-29
EMP00129,Aarush Konda,Sales,4.2,10.74,37,5,3.7,Day,82.73,12,73.49,2025-01-21
EMP00130,Dharmajan Gaba,Logistics,3.3,59.85,27,5,6.7,Night,73.69,17,55.55,2025-04-15
EMP00131,Alia Mani,Logistics,2.0,102.7,42,7,2.2,Night,74.48,16,71.86,2024-12-10
EMP00132,Uthkarsh Garde,Sales,3.6,101.56,27,8,4.2,Day,86.76,11,62.21,2025-03-09
EMP00133,Tushar Bail,Customer Support,2.4,58.83,35,4,5.7,Day,93.35,20,67.71,2025-01-13
EMP00134,Akarsh Sethi,Logistics,3.4,106.0,37,4,3.9,Night,76.82,14,54.19,2025-02-03
